,subject,congruency,rt,acc,task
203,1,congruent,0.40136033099999996,1,flanker
204,1,incongruent,0.401365581,1,flanker
205,1,incongruent,0.48485221100000003,1,flanker
206,1,congruent,0.401432994,1,flanker
207,1,congruent,0.401470788,1,flanker
208,1,congruent,0.33465212,1,flanker
209,1,congruent,0.418106134,1,flanker
210,1,congruent,0.368020274,1,flanker
211,1,congruent,0.33435612600000003,1,flanker
212,1,congruent,0.368050463,1,flanker
213,1,incongruent,0.534921662,1,flanker
214,1,incongruent,0.501482572,1,flanker
215,1,congruent,0.618323764,1,flanker
216,1,incongruent,0.451398093,1,flanker
217,1,incongruent,0.41810207200000005,1,flanker
218,1,incongruent,0.484850351,1,flanker
219,1,incongruent,0.785095226,1,flanker
220,1,incongruent,0.46816956699999995,1,flanker
221,1,incongruent,0.367968305,1,flanker
222,1,incongruent,0.434858641,1,flanker
223,1,incongruent,0.501522921,1,flanker
224,1,incongruent,0.451427868,1,flanker
225,1,congruent,0.484772372,1,flanker
226,1,congruent,0.451443729,1,flanker
227,1,incongruent,0.451475862,1,flanker
228,1,incongruent,0.368056308,1,flanker
229,1,incongruent,0.5348245819999999,1,flanker
230,1,congruent,0.401265982,1,flanker
231,1,incongruent,0.46806016,1,flanker
232,1,congruent,0.38467717399999996,1,flanker
233,1,congruent,0.46808648199999997,1,flanker
234,1,incongruent,0.368046995,1,flanker
235,1,congruent,0.35135352599999997,1,flanker
236,1,congruent,0.334630612,1,flanker
237,1,incongruent,0.45150077299999997,1,flanker
238,1,incongruent,0.48484504700000003,1,flanker
239,1,incongruent,0.46809551499999996,1,flanker
240,1,congruent,0.45160733,1,flanker
241,1,incongruent,0.6183686300000001,1,flanker
242,1,incongruent,0.40145669500000003,1,flanker
243,1,incongruent,0.418053432,1,flanker
244,1,congruent,0.451465619,1,flanker
245,1,incongruent,0.451420443,1,flanker
246,1,congruent,0.468125805,1,flanker
247,1,incongruent,0.484825354,1,flanker
248,1,congruent,0.351261738,1,flanker
249,1,congruent,0.38469982900000005,1,flanker
250,1,congruent,0.45143776100000005,1,flanker
251,1,incongruent,0.417991246,1,flanker
252,1,congruent,0.434743571,1,flanker
253,1,congruent,0.35131140699999996,1,flanker
254,1,incongruent,0.467892881,1,flanker
255,1,incongruent,0.518208214,1,flanker
256,1,incongruent,0.468155492,1,flanker
257,1,congruent,0.418067215,1,flanker
258,1,congruent,0.401183591,1,flanker
259,1,congruent,0.41803801900000004,1,flanker
260,1,incongruent,0.434741899,1,flanker
